Pop,Corrected.Sample.ID,Year,MC,Region,State
both.all,Penquite,1858,SRW,Eastern,Ohio
both.all,NE05548,2014,HRW,Great Plains,Nebraska
both.all1,Penquite,1858,SRW,Eastern,Ohio
both.all1,McNair 1813,1975,SRW,Eastern,North Carolina
both.all2,Funk Seeds 7171,1975,xxW,Eastern,Illinois
both.all2,NE05548,2014,HRW,Great Plains,Nebraska
both.CA,Early Defiance,1878,SWS,Pacific,California
both.CA,RSI 220,1994,SRW,Pacific,California
both.CA_Other,Penquite,1858,SRW,Eastern,Ohio
both.CA_Other,NE05548,2014,HRW,Great Plains,Nebraska
both.CO,Regenerated Defiance,1907,HWS,Great Plains,Colorado
both.CO,Hatcher,2004,HRW,Great Plains,Colorado
both.CO_Other,Penquite,1858,SRW,Eastern,Ohio
both.CO_Other,ARS-Selbu,2013,SWW,PNW,Washington
both.eas,Penquite,1858,SRW,Eastern,Ohio
both.eas,InW0731,2007,SRW,Eastern,Indiana
both.eas_Other,Early Defiance,1878,SWS,Pacific,California
both.eas_Other,NE05548,2014,HRW,Great Plains,Nebraska
both.eas1,Penquite,1858,SRW,Eastern,Ohio
both.eas1,Blueboy,1967,SRW,Eastern,North Carolina
both.eas2,Arthur,1968,SRW,Eastern,Indiana
both.eas2,InW0731,2007,SRW,Eastern,Indiana
both.gpl,Harvest Queen,1897,SRW,Great Plains,Kansas
both.gpl,NE05548,2014,HRW,Great Plains,Nebraska
both.gpl_Other,Penquite,1858,SRW,Eastern,Ohio
both.gpl_Other,ARS-Selbu,2013,SWW,PNW,Washington
both.gpl1,Harvest Queen,1897,SRW,Great Plains,Kansas
both.gpl1,TAM 106,1979,HRW,Great Plains,Texas
both.gpl2,Dancer,1980,SRW,Great Plains,Colorado
both.gpl2,NE05548,2014,HRW,Great Plains,Nebraska
both.ID,Irwin Dicklow,1912,SWS,PNW,Idaho
both.ID,IDO644,2011,SWS,PNW,Idaho
both.ID_Other,Penquite,1858,SRW,Eastern,Ohio
both.ID_Other,NE05548,2014,HRW,Great Plains,Nebraska
both.IN,Michigan Amber,1875,SRW,Eastern,Indiana
both.IN,InW0731,2007,SRW,Eastern,Indiana
both.IN_Other,Early Defiance,1878,SWS,Pacific,California
both.IN_Other,NE05548,2014,HRW,Great Plains,Nebraska
both.KS,Harvest Queen,1897,SRW,Great Plains,Kansas
both.KS,Haven,1991,HRW,Great Plains,Kansas
both.KS_Other,Penquite,1858,SRW,Eastern,Ohio
both.KS_Other,ARS-Selbu,2013,SWW,PNW,Washington
both.MN,Glyndon,1898,HRS,Northern,Minnesota
both.MN,BacUp,1996,HRS,Northern,Minnesota
both.MN_Other,Penquite,1858,SRW,Eastern,Ohio
both.MN_Other,NE05548,2014,HRW,Great Plains,Nebraska
both.MT,Karmont,1921,HRW,Northern,Montana
both.MT,Willow Creek,2005,HRW,Northern,Montana
both.MT_Other,Penquite,1858,SRW,Eastern,Ohio
both.MT_Other,NE05548,2014,HRW,Great Plains,Nebraska
both.ND,Haynes Bluestem,1895,HRS,Northern,North Dakota
both.ND,Jerry,2001,HRW,Northern,North Dakota
both.ND_Other,Penquite,1858,SRW,Eastern,Ohio
both.ND_Other,NE05548,2014,HRW,Great Plains,Nebraska
both.NE,Nebraska No. 28,1916,SRW,Great Plains,Nebraska
