GS.Sample.ID	Corrected.Sample.ID	ACNO	Habit	Region	State	Year	MC	HeadType	Sector	Decade	BP
Bannock	Bannock	CItr15318	spring	PNW	ID	1972	HRS	common	Public	1970-79	1961-2015
Barbee	Barbee	CItr17417	winter	PNW	WA	1976	SWW	club	Public	1970-79	1961-2015
Basin	Basin	PI601238	winter	PNW	WA	1984	SWW	common	Private	1980-89	1961-2015
Beau	Beau	CItr17420	winter	EAS	IN	1976	SRW	common	Public	1970-79	1961-2015
Bennett	Bennett	CItr17723	winter	GPL	NE	1978	HRW	common	Public	1970-79	1961-2015
Bergan	Bergen	PI538768	spring	GPL	CO	1990	HRS	common	Private	1990-99	1961-2015
Big Club 37	Big Club 37	CItr11901	spring	PAC	CA	1937	SWS	club	Public	1930-39	1850-1960
Bison	Bison	CItr12518	winter	GPL	KS	1956	HRW	common	Public	1950-59	1850-1960
Blackhawk	Blackhawk	CItr12218	winter	EAS	WI	1944	SRW	common	Public	1940-49	1850-1960
Blackhull	Blackhull	CItr6251	winter	GPL	KS	1917	HRW	common	Farmer breeder	1850-1929	1850-1960
Blanca	Blanca	PI501533	spring	PNW	ID	1986	SWS	common	Public	1980-89	1961-2015
Blizzard	Blizzard	PI512302	winter	PNW	ID	1989	HRW	common	Public	1980-89	1961-2015
Blount's Lambrigg	Blount's Lambrigg	CItr42207	winter	GPL	CO	1916	xxW	common	Public	1850-1929	1850-1960
Blue Jacket	Blue Jacket	CItr12502	winter	GPL	KS	1946	HRW	common	Farmer breeder	1940-49	1850-1960
Blueboy	Blueboy	CItr14031	winter	EAS	NC	1967	SRW	common	Public	1960-69	1961-2015
Bonanza	Bonanza	CItr14077	spring	GPL	KS	1969	HRS	common	Private	1960-69	1961-2015
Brill	Brill	CItr11853	winter	EAS	IL	1936	HRW	common	Public	1930-39	1850-1960
Bronze	Bronze	CItr14013	winter	NOR	SD	1974	HRW	common	Public	1970-79	1961-2015
Brule	Brule	PI466739	winter	GPL	NE	1981	HRW	common	Public	1980-89	1961-2015
Buckshot	Buckshot	PI481541	spring	GPL	CO	1983	HRS	common	Private	1980-89	1961-2015
Bulter	Butler	CItr12527	winter	EAS	OH	1947	SRW	common	Public	1940-49	1850-1960
Caddo	Caddo	CItr13536	winter	GPL	TX	1963	HRW	common	Public	1960-69	1961-2015
Calorwa	Calorwa	PI566594	spring	PNW	WA	1994	SWS	club	Public	1990-99	1961-2015
Canawa	Canawa	CItr11854	winter	EAS	WV	1935	SRW	common	Public	1930-39	1850-1960
Capitan	Capitan	CItr17591	winter	GPL	NM	1978	HRW	common	Public	1970-79	1961-2015
Carleeds	Carleeds	CItr11801	spring	NOR	ND	1936	HRS	common	NA	1930-39	1850-1960
Carlson's Fife	Carlson's Fife	CItr11922	winter	PNW	WA	1941	SRW	common	Public	1940-49	1850-1960
Carson	Carson	PI501534	winter	GPL	CO	1986	HRW	common	Public	1980-89	1961-2015
Cataldo	Cataldo	PI642361	spring	PNW	ID	2007	SWS	common	Public	2000-15	1961-2015
Celtic	Celtic	PI502966	spring	GPL	CO	1986	HRS	common	Private	1980-89	1961-2015
Centennial	Centennial	PI537303	spring	PNW	ID	1990	SWS	common	Public	1990-99	1961-2015
Cheney	Cheney	CItr17765	winter	GPL	KS	1978	HRW	common	Public	1970-79	1961-2015
Chiefkan	Chiefkan	CItr11754	winter	GPL	KS	1935	HRW	common	Farmer breeder	1930-39	1850-1960
Claf	Olaf	CItr15930	spring	NOR	ND	1973	HRS	common	Public	1970-79	1961-2015
Clark	Clark	PI512337	winter	EAS	IN	1987	SRW	common	Public	1980-89	1961-2015
Clemson 201	Clemson 201	PI585044	winter	EAS	SC	1994	SRW	common	Public	1990-99	1961-2015
Cloud	Cloud	CItr17276	winter	GPL	KS	1973	HRW	common	Public	1970-79	1961-2015
Coastal	Coastal	CItr12463	winter	EAS	SC	1949	SRW	common	Private	1940-49	1850-1960
Coker 47-27	Coker 47-27	CItr12563	winter	EAS	SC	1950	SRW	common	Private	1950-59	1850-1960
Coker 61-19	Coker 61-19	CItr13783	winter	EAS	SC	1960	SRW	common	Private	1960-69	1850-1960
Coker 68-15	Coker 68-15	CItr15291	winter	EAS	SC	1971	SRW	common	Private	1970-79	1961-2015
Coker 762	Coker 762	PI17924	winter	EAS	SC	1980	SRW	common	Private	1980-89	1961-2015
Collin	Collin	PI511849	winter	GPL	TX	1986	HRW	common	Public	1980-89	1961-2015
Colorado No. 50	Colorado No. 50	CItr4959	spring	GPL	CO	1909	SWS	common	Public	1850-1929	1850-1960
Colorow	Colorow	CItr12865	winter	GPL	CO	1960	HRW	common	Public	1960-69	1850-1960
Colt	Colt	PI476975	winter	GPL	NE	1983	HRW	common	Public	1980-89	1961-2015
Comet	Comet	CItr11465	spring	NOR	MT	1940	HRS	common	Public	1940-49	1850-1960
Concho	Concho	CItr12517	winter	GPL	OK	1954	HRW	common	Public	1950-59	1850-1960
Copper	Copper	PI502644	spring	PNW	ID	1986	HRS	common	Public	1980-89	1961-2015
Coteau	Coteau	CItr17749	spring	NOR	ND	1978	HRS	common	Public	1970-79	1961-2015
Courtney	Courtney	PI476848	spring	PAC	CA	1983	HRS	common	Private	1980-89	1961-2015
Crew	Crew	PI17951	winter	PNW	WA	1982	SWW	club	Public	1980-89	1961-2015
Dalen	Dalen	PI552812	spring	GPL	CO	1991	HRS	common	NA	1990-99	1961-2015
Dancer	Dancer	PI17890	winter	GPL	CO	1980	SRW	common	NA	1980-89	1961-2015
Delmar	Delmar	CItr13442	winter	PNW	UT	1961	HRW	common	NA	1960-69	1961-2015
Deloris	Deloris	PI631447	winter	PNW	UT	2002	HRW	common	NA	2000-15	1961-2015
Delta Queen	Delta Queen	CItr17893	winter	EAS	SC	1978	SRW	common	NA	1970-79	1961-2015
Dirkwin	Dirkwin	CItr17745	spring	PNW	ID	1978	SWS	common	NA	1970-79	1961-2015
DK-435	DK-49S	CItr595215	spring	GPL	TX	1978	HRS	common	NA	1970-79	1961-2015
Dodge	Dodge	PI506344	winter	GPL	KS	1986	HRW	common	NA	1980-89	1961-2015
Downy	Downy	CItr17421	winter	EAS	IN	1976	SRW	common	NA	1970-79	1961-2015
Duke	Duke	PI17856	winter	GPL	CO	1981	HRW	common	NA	1980-89	1961-2015
Dutro Clipper	Dutro Clipper	CItr10035	winter	EAS	IN	1930	xxW	common	NA	1930-39	1850-1960
Eagle Chief	Eagle Chief	CItr8868	winter	GPL	OK	1927	HRW	common	NA	1850-1929	1850-1960
Early Blackhull	Early Blackhull	CItr8856	winter	GPL	KS	1928	HRW	common	NA	1850-1929	1850-1960
Early Defiance	Early Defiance	CItr6480	spring	PAC	CA	1878	SWS	common	NA	1850-1929	1850-1960
Early Premium	Early Premium	CItr11858	winter	EAS	MO	1937	SRW	common	NA	1930-39	1850-1960
Edwall	Edwall	PI477919	spring	PNW	WA	1984	SWS	common	NA	1980-89	1961-2015
Edwin	Edwin	PI606765	winter	PNW	WA	1999	SWW	club	NA	1990-99	1961-2015
Eickmeyer	Eickmeyer	CItr12035	winter	PNW	WA	1939	SWW	common	NA	1930-39	1850-1960
Eider	Eider	PI478896	winter	EAS	IN	1983	SRW	common	NA	1980-89	1961-2015
Eklund	Eklund	CItr614656	winter	NOR	MN	1976	HRW	common	NA	1970-79	1961-2015
Elgin	Elgin	CItr11755	winter	PNW	OR	1942	SWW	club	NA	1940-49	1850-1960
Ellar	Ellar	CItr17289	spring	NOR	ND	1974	HRS	common	NA	1970-79	1961-2015
