GS.Sample.ID	Corrected.Sample.ID	ACNO	Habit	Region	State	Year	MC	HeadType	Sector	Decade	BP
Inw9244	Inw9241	PI583826	winter	EAS	IN	1994	SRW	common	NA	1990-99	1961-2015
Iobred	Iobred	CItr6934	winter	EAS	IA	1923	HRW	common	NA	1850-1929	1850-1960
Iohardi	Iohardi	CItr12510	winter	EAS	IA	1948	HRW	common	NA	1940-49	1850-1960
Iona	Iona	PI618734	spring	PNW	ID	1999	HRS	common	NA	1990-99	1961-2015
Ionia	Ionia	CItr14469	winter	EAS	MI	1969	SWW	common	NA	1960-69	1961-2015
Iowin	Iowin	CItr10017	winter	EAS	IA	1930	HRW	common	NA	1930-39	1850-1960
Irwin Dicklow	Irwin Dicklow	CItr8855	spring	PNW	ID	1912	SWS	common	NA	1850-1929	1850-1960
Itana	Itana	CItr12933	winter	NOR	MT	1956	HRW	common	NA	1950-59	1850-1960
Jacmar	Jacmar	CItr608016	winter	PNW	WA	1978	SWW	club	NA	1970-79	1961-2015
James	James	CItr17791	spring	NOR	SD	1979	HRS	common	NA	1970-79	1961-2015
Jeff	Jeff	CItr17270	winter	PNW	ID	1974	HRW	common	NA	1970-79	1961-2015
Jefferson	Jefferson	PI603040	spring	PNW	ID	1998	HRS	common	NA	1990-99	1961-2015
Jerry	Jerry	PI632433	winter	NOR	ND	2001	HRW	common	NA	2000-15	1961-2015
John	John	PI494095	winter	PNW	WA	1984	SWW	common	NA	1980-89	1961-2015
Joleen	Joleen	CItr17411	winter	GPL	KS	1975	HRW	common	NA	1970-79	1961-2015
Jones Fife	Jones Fife	CItr4468	winter	EAS	NY	1889	SRW	common	NA	1850-1929	1850-1960
Jubilee	Jubilee	PI614839	spring	PNW	ID	2001	SWS	common	NA	2000-15	1961-2015
Judith	Judith	PI584526	winter	NOR	MT	1989	HRW	common	NA	1980-89	1961-2015
Juniper	Juniper	PI639951	winter	PNW	ID	2006	HRW	common	NA	2000-15	1961-2015
Justin	Justin	CItr13462	spring	NOR	ND	1962	HRS	common	NA	1960-69	1961-2015
Kancom	Kancom	CItr13362	winter	EAS	TN	1956	SRW	common	NA	1950-59	1850-1960
Kanhull	Kanhull	CItr11877	winter	GPL	KS	1935	HRW	common	NA	1930-39	1850-1960
KanKing	KanKing	CItr12719	winter	GPL	KS	1952	HRW	common	NA	1950-59	1850-1960
Kanqueen	Kanqueen	CItr12762	winter	GPL	KS	1949	SRW	common	NA	1940-49	1850-1960
Kanred	Kanred	CItr5146	winter	GPL	KS	1917	HRW	common	NA	1850-1929	1850-1960
Karmont	Karmont	CItr6700	winter	NOR	MT	1921	HRW	common	NA	1850-1929	1850-1960
Kaw 61	Kaw 61	CItr12871	winter	GPL	KS	1960	HRW	common	NA	1960-69	1850-1960
Kawvale	Kawvale	CItr8180	winter	GPL	KS	1929	HRW	common	NA	1850-1929	1850-1960
Kay	Kay	PI502970	winter	EAS	IN	1986	SRW	common	NA	1980-89	1961-2015
Kenosha	Kenosha	CItr14025	winter	EAS	WI	1968	SRW	common	NA	1960-69	1961-2015
Key	Key	CItr15928	winter	EAS	IN	1976	SRW	common	NA	1970-79	1961-2015
Kiowa	Kiowa	CItr12133	winter	GPL	KS	1950	HRW	common	NA	1950-59	1850-1960
Kirwin	Kirwin	CItr17275	winter	GPL	KS	1973	HRW	common	NA	1970-79	1961-2015
Kitt	Kitt	CItr518818	spring	NOR	MN	1975	HRS	common	NA	1970-79	1961-2015
Klasic	Klasic	PI486139	spring	GPL	NE	1982	HWS	common	NA	1980-89	1961-2015
Kmor	Kmor	PI536995	winter	PNW	WA	1990	SWW	common	NA	1990-99	1961-2015
Knox 62	Knox 62	CItr13701	winter	EAS	IN	1962	SRW	common	NA	1960-69	1961-2015
Komar	Komar	CItr8004	spring	NOR	ND	1930	HRS	common	NA	1930-39	1850-1960
Krona	Krona	PI564087	spring	GPL	CO	1992	HRS	common	NA	1990-99	1961-2015
Kruse	Kruse	CItr11524	winter	NOR	MT	1957	SRW	common	NA	1950-59	1850-1960
Lafron	Lafron	CItr14022	winter	EAS	IN	1964	xxW	common	NA	1960-69	1961-2015
Lamar	Lamar	PI559719	winter	GPL	CO	1988	HRW	common	NA	1980-89	1961-2015
Lambert	Lambert	PI583372	winter	PNW	ID	1994	SWW	common	NA	1990-99	1961-2015
Lancer	Lancer	CItr13547	winter	GPL	NE	1963	HRW	common	NA	1960-69	1961-2015
Lani	Lani	CItr14021	winter	EAS	IN	1964	xxW	common	NA	1960-69	1961-2015
LaPorte	LaPorte	CItr12557	winter	EAS	IN	1957	SRW	common	NA	1950-59	1850-1960
Lark	Lark	CItr17338	spring	PAC	CA	1971	HRS	common	NA	1970-79	1961-2015
Leap	Leap	CItr4823	winter	EAS	VA	1907	SRW	common	NA	1850-1929	1850-1960
Lee	Lee	CItr12488	spring	NOR	MN	1950	HRS	common	NA	1950-59	1850-1960
Leif	Leif	PI601206	spring	NOR	MN	1985	HRS	common	NA	1980-89	1961-2015
Lemhi	Lemhi	CItr11415	spring	PNW	ID	1939	SWS	common	NA	1930-39	1850-1960
Lemhi 53	Lemhi 53	CItr13258	spring	PNW	ID	1953	SWS	common	NA	1950-59	1850-1960
Lemhi 62	Lemhi 62	CItr13435	spring	PNW	ID	1962	SWS	common	NA	1960-69	1961-2015
Lemhi 66	Lemhi 66	CItr13969	spring	PNW	ID	1966	SWS	common	NA	1960-69	1961-2015
Len	Len	CItr17790	spring	NOR	ND	1979	HRS	common	NA	1970-79	1961-2015
Lenore	Lenore	CItr17726	winter	PNW	ID	1978	SWW	common	NA	1970-79	1961-2015
Lew	Lew	CItr17429	spring	NOR	MT	1976	HRS	common	NA	1970-79	1961-2015
Lewis	Lewis	CItr13705	winter	EAS	MO	1964	SRW	common	NA	1960-69	1961-2015
Lewjain	Lewjain	PI17909	winter	PNW	WA	1982	SWW	common	NA	1980-89	1961-2015
LHS	LHS	PI660547	winter	PNW	ID	2011	HWW	common	NA	2000-15	1961-2015
Lincoln	Lincoln	PI506404	winter	GPL	KS	1987	SRW	common	NA	1980-89	1961-2015
Lindon	Lindon	CItr17440	winter	GPL	CO	1975	HRW	common	NA	1970-79	1961-2015
Lobred 73	Iobred 73	CItr583669	winter	EAS	IA	1962	HRW	common	NA	1960-69	1961-2015
LoLo	LoLo	PI614840	spring	PNW	ID	2000	HWS	common	NA	2000-15	1961-2015
Longberry No. 1	Longberry No. 1	CItr5823	winter	EAS	NY	1898	SWW	common	NA	1850-1929	1850-1960
Longhorn	Longhorn	PI552813	winter	GPL	KS	1991	HRW	common	NA	1990-99	1961-2015
Louise	Louise	PI634865	spring	PNW	WA	2005	SWS	common	NA	2000-15	1961-2015
Lucas	Lucas	CItr12990	winter	EAS	OH	1959	SRW	common	NA	1950-59	1850-1960
Luft	Luft	CItr13729	winter	PNW	ID	1962	SWW	common	NA	1960-69	1961-2015
Luke	Luke	CItr14586	winter	PNW	WA	1970	SWW	common	NA	1970-79	1961-2015
Lynn	Lynn	PI565359	spring	PAC	CA	1991	HWS	common	NA	1990-99	1961-2015
Mace	Mace	PI651043	winter	GPL	NE	2007	HRW	common	NA	2000-15	1961-2015
MacVicar	MacVicar	PI552427	winter	PNW	OR	1992	SWW	common	NA	1990-99	1961-2015
Madison	Madison	PI547041	winter	EAS	VA	1990	SRW	common	NA	1990-99	1961-2015
Madsen	Madsen	PI511673	winter	PNW	WA	1988	SWW	common	NA	1980-89	1961-2015
Magnum	Magnum	PI477285	winter	GPL	CO	1983	SRW	common	NA	1980-89	1961-2015
Manning	Manning	CItr17846	winter	PNW	UT	1979	HRW	common	NA	1970-79	1961-2015
Marberg	Marberg	PI518816	spring	NOR	MT	1980	HRS	common	NA	1980-89	1961-2015
Marett Chancellor	Marett Chancellor	CItr12566	winter	EAS	SC	1947	SRW	common	NA	1940-49	1850-1960
Marfed	Marfed	CItr11919	spring	PNW	WA	1946	SWS	common	NA	1940-49	1850-1960
Maricopa	Maricopa	CItr14129	spring	PAC	AZ	1966	HWS	common	NA	1960-69	1961-2015
Marshall	Marshall	PI17920	spring	NOR	MN	1982	HRS	common	NA	1980-89	1961-2015
Martin	Martin	CItr4463	winter	EAS	NY	1880	SWW	common	NA	1850-1929	1850-1960
Martin Amber	Martin Amber	PI565360	winter	EAS	NY	1991	SWW	common	NA	1990-99	1961-2015
Marvel	Marvel	CItr8876	winter	NOR	SD	1928	SRW	common	NA	1850-1929	1850-1960
Massey	Massey	PI17953	winter	EAS	VA	1981	SRW	common	NA	1980-89	1961-2015
Maverick	Maverick	CItr17728	winter	GPL	TX	1977	HRW	common	NA	1970-79	1961-2015
Mayview	Mayview	CItr5874	spring	PNW	WA	1915	SWS	common	NA	1850-1929	1850-1960
McCall	McCall	CItr13842	winter	PNW	WA	1965	HRW	common	NA	1960-69	1961-2015
McGuire	McGuire	PI593890	winter	NOR	MT	1996	HRW	common	NA	1990-99	1961-2015
McKay	McKay	PI17903	spring	PNW	ID	1981	HRS	common	NA	1980-89	1961-2015
McNair 1587	McNair 1587	CItr17279	winter	EAS	NC	1973	SRW	common	NA	1970-79	1961-2015
McNair 1813	McNair 1813	CItr15289	winter	EAS	NC	1975	SRW	common	NA	1970-79	1961-2015
McNair 2203	McNair 2203	CItr15228	winter	EAS	NC	1970	SRW	common	NA	1970-79	1961-2015
McNeal	McNeal	PI574642	spring	NOR	MT	1994	HRS	common	NA	1990-99	1961-2015
Meggie	Meggie	PI486337	winter	GPL	CO	1984	HRW	common	NA	1980-89	1961-2015
Mercury	Mercury	CItr11872	spring	NOR	ND	1933	HRS	common	NA	1930-39	1850-1960
Meridian	Meridian	PI557013	winter	PNW	ID	1992	HRW	common	NA	1990-99	1961-2015
Merit	Merit	CItr11870	spring	NOR	ND	1937	HRS	common	NA	1930-39	1850-1960
Merrimac	Merrimac	PI535454	winter	EAS	WI	1988	SRW	common	NA	1980-89	1961-2015
Mesa	Mesa	PI511308	winter	GPL	KS	1987	HRW	common	NA	1980-89	1961-2015
Michigan Amber	Michigan Amber	CItr11379	winter	EAS	IN	1875	SRW	common	NA	1850-1929	1850-1960
Michikoff	Michikof	CItr6990	winter	EAS	IN	1920	HRW	common	NA	1850-1929	1850-1960
Mida 12008	Mida	CItr12008	spring	NOR	ND	1944	HRS	common	NA	1940-49	1850-1960
Milam	Milam	CItr13369	spring	GPL	TX	1959	HRS	common	NA	1950-59	1850-1960
Milburn	Milburn	PI601252	winter	GPL	TX	1985	HRW	common	NA	1980-89	1961-2015
Mindoro	Mindoro	PI601075	spring	PAC	CA	1984	HRS	common	NA	1980-89	1961-2015
MinnPro	MinnPro	PI532149	spring	NOR	MN	1989	HRS	common	NA	1980-89	1961-2015
Minter	Minter	CItr12138	winter	NOR	MN	1948	HRW	common	NA	1940-49	1850-1960
Minturki	Minturki	CItr6155	winter	NOR	MN	1919	HRW	common	NA	1850-1929	1850-1960
Missouri Valley	Missouri Valley	CItr10046	spring	NOR	ND	1930	HRS	common	NA	1930-39	1850-1960
Moking	Moking	CItr12556	winter	GPL	KS	1946	SRW	common	NA	1940-49	1850-1960
Monon	Monon	CItr13278	winter	EAS	IN	1959	SRW	common	NA	1950-59	1850-1960
Moran	Moran	CItr13743	spring	PNW	ID	1967	HRS	common	NA	1960-69	1961-2015
Mosida	Mosida	CItr6688	winter	PNW	ID	1924	HRW	common	NA	1850-1929	1850-1960
Nabob	Nabob	CItr8869	winter	EAS	OH	1928	SRW	common	NA	1850-1929	1850-1960
Nebraska No. 28	Nebraska No. 28	CItr5147	winter	GPL	NE	1916	SRW	common	NA	1850-1929	1850-1960
Nebraska No. 6	Nebraska No. 6	CItr6249	winter	GPL	NE	1919	HRW	common	NA	1850-1929	1850-1960
Nebraska No. 60	Nebraska No. 60	CItr6250	winter	GPL	NE	1918	HRW	common	NA	1850-1929	1850-1960
Nebred	Nebred	CItr10094	winter	GPL	NE	1938	HRW	common	NA	1930-39	1850-1960
Neeley	Neeley	PI17860	winter	PNW	ID	1980	HRW	common	NA	1980-89	1961-2015
Nekota	Nekota	PI584997	winter	GPL	NE	1994	HRW	common	NA	1990-99	1961-2015
Nelson	Nelson	PI17770	winter	EAS	AR	1982	SRW	common	NA	1980-89	1961-2015
NEO 6545	NE06545	PI667038	winter	GPL	NE	2013	HRW	common	NA	2000-15	1961-2015
NEO1643	NE01643	PI647959	winter	GPL	NE	2007	HRW	common	NA	2000-15	1961-2015
NEO5548	NE05548	PI670462	winter	GPL	NE	2014	HRW	common	NA	2000-15	1961-2015
New Victory	New Victory	CItr12677	winter	PNW	WA	1949	SWW	common	NA	1940-49	1850-1960
Newana	Newana	CItr17430	spring	NOR	MT	1976	HRS	common	NA	1970-79	1961-2015
Newark Improved Triumph	Newest Improved Triumph	CItr13668	winter	GPL	OK	1954	HRW	common	NA	1950-59	1850-1960
Newcaster	Newcaster	CItr12528	winter	EAS	IL	1946	SRW	common	NA	1940-49	1850-1960
Newthatch	Newthatch	CItr12318	spring	NOR	MN	1944	HRS	common	NA	1940-49	1850-1960
Newton	Newton	CItr17715	winter	GPL	KS	1978	HRW	common	NA	1970-79	1961-2015
Nicoma	Nicoma	CItr13874	winter	GPL	OK	1971	HRW	common	NA	1970-79	1961-2015
Niobrara	Niobrara	PI584996	winter	GPL	NE	1994	HRW	common	NA	1990-99	1961-2015
Nogal	Nogal	PI562646	spring	AK	AK	1992	HRS	common	NA	1990-99	1961-2015
Norak	Norak	PI601205	spring	NOR	MN	1984	HRS	common	NA	1980-89	1961-2015
Norana	Norana	CItr15927	spring	NOR	MT	1973	HRS	common	NA	1970-79	1961-2015
Nordic	Nordic	PI506405	spring	GPL	KS	1986	HRS	common	NA	1980-89	1961-2015
Nordman	Nordman	CItr14127	spring	NOR	ND	1964	HRS	common	NA	1960-69	1961-2015
Norseman	Norseman	PI494102	spring	GPL	CO	1986	HRS	common	NA	1980-89	1961-2015
Norwesta	Nowesta	CItr17390	spring	NOR	ND	1973	HRS	common	NA	1970-79	1961-2015
Norwin	Norwin	PI491533	winter	NOR	MT	1984	HRW	common	NA	1980-89	1961-2015
Nudel	Nudel	CItr12672	winter	EAS	DE	1947	SRW	common	NA	1940-49	1850-1960
Nugaines	Nugaines	CItr13968	winter	PNW	WA	1965	SWW	common	NA	1960-69	1961-2015
Nuplains	Nuplains	PI605741	winter	GPL	NE	1998	HWW	common	NA	1990-99	1961-2015
Nured	Nured	CItr12455	winter	EAS	NY	1939	SRW	common	NA	1930-39	1850-1960
NY Batavia	NY Batavia	PI595085	winter	EAS	NY	1996	SWW	common	NA	1990-99	1961-2015
Oasis	Oasis	CItr15929	winter	EAS	IN	1973	SRW	common	NA	1970-79	1961-2015
Oatka Chief	Oatka Chief	CItr591889	winter	EAS	NY	1897	SWW	common	NA	1850-1929	1850-1960
OK 101	OK101	PI631493	winter	GPL	OK	2001	HRW	common	NA	2000-15	1961-2015
Omaha	Omaha	CItr13015	winter	GPL	NE	1960	HRW	common	NA	1960-69	1850-1960
Omar	Omar	CItr13072	winter	PNW	WA	1955	SWW	club	NA	1950-59	1850-1960
Omega 78	Omega 78	CItr17721	winter	EAS	GA	1979	SRW	common	NA	1970-79	1961-2015
Onas 41	Onas 41	CItr12229	spring	PAC	CA	1942	SWS	common	NA	1940-49	1850-1960
Onas 53	Onas 53	CItr13069	spring	PAC	CA	1953	SWS	common	NA	1950-59	1850-1960
Oregon Zimmerman	Oregon Zimmerman	CItr7359	spring	PNW	OR	1921	SWS	common	NA	1850-1929	1850-1960
Orfed	Orfed	CItr11913	spring	PNW	WA	1943	SWS	common	NA	1940-49	1850-1960
Orion	Orion	PI497986	winter	GPL	CO	1985	SRW	common	NA	1980-89	1961-2015
Oro	Oro	CItr8220	winter	PNW	OR	1927	HRW	common	NA	1850-1929	1850-1960
Osage	Osage	CItr17292	winter	GPL	OK	1974	HRW	common	NA	1970-79	1961-2015
Osco	Oslo	PI17901	spring	GPL	CO	1980	HRS	common	NA	1980-89	1961-2015
Ottawa	Ottawa	CItr12804	winter	GPL	KS	1960	HRW	common	NA	1960-69	1850-1960
Oveson	Oveson	PI512338	winter	PNW	OR	1986	SWW	common	NA	1980-89	1961-2015
Owens	Owens	PI17904	spring	PNW	ID	1981	SWS	common	NA	1980-89	1961-2015
Pacer	Pacer	PI614655	winter	EAS	MO	1988	SRW	common	NA	1980-89	1961-2015
Pacfific Bluestem 37	Pacific Bluestem 37	CItr11903	spring	PAC	CA	1937	SWS	common	NA	1930-39	1850-1960
Paha	Paha	CItr14485	winter	PNW	WA	1970	SWW	common	NA	1970-79	1961-2015
Palala	Palala	CItr17847	winter	NOR	ND	1979	xxW	common	NA	1970-79	1961-2015
Palo Duro	Palo Duro	CItr14584	winter	GPL	KS	1969	HRW	common	NA	1960-69	1961-2015
Parker	Parker	CItr13285	winter	GPL	KS	1966	HRW	common	NA	1960-69	1961-2015
Payne	Payne	CItr17717	winter	GPL	OK	1977	HRW	common	NA	1970-79	1961-2015
Peak	Peak	CItr14587	spring	PNW	ID	1971	HRS	common	NA	1970-79	1961-2015
Peak 72	Peak 72	CItr15319	spring	PNW	ID	1972	HRS	common	NA	1970-79	1961-2015
Peck	Peck	CItr17298	winter	PNW	ID	1974	SWW	common	NA	1970-79	1961-2015
Pedigreed Blackhull No. 60	Pedigreed Blackhull No. 60	CItr8857	winter	GPL	KS	1917	HRW	common	NA	1850-1929	1850-1960
Penawawa	Penawawa	PI495916	spring	PNW	WA	1985	SWS	common	NA	1980-89	1961-2015
Pennoll	Pennoll	CItr12755	winter	EAS	PA	1951	SRW	common	NA	1950-59	1850-1960
Penquito	Penquite	CItr5948	winter	EAS	OH	1858	SRW	common	NA	1850-1929	1850-1960
Phoenix	Phoenix	CItr17962	winter	PAC	CA	1981	HWW	common	NA	1980-89	1961-2015
Pilcraw	Pilcraw	CItr5540	spring	PAC	CA	1917	SWS	common	NA	1850-1929	1850-1960
Pilot	Pilot	CItr11428	spring	NOR	ND	1939	HRS	common	NA	1930-39	1850-1960
PL 145	PL145	PI600840	winter	GPL	KS	1982	HRW	common	NA	1980-89	1961-2015
Plainsman	Plainsman	CItr14128	spring	NOR	ND	1964	HRS	common	NA	1960-69	1961-2015
Pogo 48	Poso 48	CItr12691	spring	PAC	CA	1948	SWS	club	NA	1940-49	1850-1960
Polk	Polk	CItr13773	spring	NOR	MN	1968	HRS	common	NA	1960-69	1961-2015
Pomerelle	Pomerelle	PI592983	spring	PNW	ID	1996	SWS	common	NA	1990-99	1961-2015
Ponca	Ponca	CItr12128	winter	GPL	KS	1951	HRW	common	NA	1950-59	1850-1960
Pondera	Pondera	PI17828	spring	NOR	MT	1980	HRS	common	NA	1980-89	1961-2015
Pontiac	Pontiac	PI573038	winter	EAS	IN	1993	SRW	common	NA	1990-99	1961-2015
Pony	Pony	PI601203	winter	GPL	NE	1985	HRW	common	NA	1980-89	1961-2015
Portage	Portage	CItr5654	winter	EAS	OH	1923	SRW	common	NA	1850-1929	1850-1960
Portola	Portola	CItr17415	spring	PAC	CA	1975	HRS	common	NA	1970-79	1961-2015
Poso	Poso	CItr8891	spring	PAC	CA	1930	SWS	club	NA	1930-39	1850-1960
Poso 41	Poso 41	CItr12240	spring	PAC	CA	1941	SWS	club	NA	1940-49	1850-1960
Poso 44	Poso 44	CItr12389	spring	PAC	CA	1945	SWS	club	NA	1940-49	1850-1960
Potomac	Potomac	CItr15292	winter	EAS	VA	1975	SRW	common	NA	1970-79	1961-2015
Powerclub	Powerclub	CItr8276	winter	PNW	ID	1926	SWW	common	NA	1850-1929	1850-1960
Prairie	Prairie	CItr12069	winter	EAS	IL	1943	SRW	common	NA	1940-49	1850-1960
Prairie Red	Prairie Red	PI605390	winter	GPL	CO	1998	HRW	common	NA	1990-99	1961-2015
Premier 11940	Premier	CItr11940	spring	NOR	ND	1938	HRS	common	NA	1930-39	1850-1960
Pride of Genesee	Pride of Genesee	CItr3365	winter	EAS	NY	1893	SRW	common	NA	1850-1929	1850-1960
Probred	Probred	CItr17410	spring	NOR	MN	1974	HRS	common	NA	1970-79	1961-2015
Prodax	Prodax	CItr17407	spring	NOR	MN	1974	HRS	common	NA	1970-79	1961-2015
Profit 75	Profit 75	CItr17348	spring	PAC	CA	1975	HRS	common	NA	1970-79	1961-2015
Progress	Progress	CItr6902	winter	EAS	WI	1921	SRW	common	NA	1850-1929	1850-1960
Promontory	Promontory	PI555458	winter	PNW	UT	1991	HRW	common	NA	1990-99	1961-2015
Prospect	Prospect	PI491568	spring	NOR	SD	1988	HRS	common	NA	1980-89	1961-2015
Prosperity	Prosperity	CItr5380	winter	EAS	NY	1890	SRW	common	NA	1850-1929	1850-1960
Prospur	Prospur	CItr17408	spring	NOR	MN	1975	HRS	common	NA	1970-79	1961-2015
Protor	Protor	CItr17409	spring	NOR	MN	1975	HRS	common	NA	1970-79	1961-2015
Prowers	Prowers	PI605389	winter	GPL	CO	1997	HRW	common	NA	1990-99	1961-2015
Prowers 99	Prowers 99	PI612420	winter	GPL	CO	1999	HRW	common	NA	1990-99	1961-2015
Purcan	Purcam	CItr12294	winter	EAS	IN	1951	SRW	common	NA	1950-59	1850-1960
Purcell	Purcell	PI17787	winter	EAS	NY	1981	SWW	common	NA	1980-89	1961-2015
Purplestraw	Purplestraw	PI500000	winter	EAS	MD	1985	SRW	common	NA	1980-89	1961-2015
Quality	Quality	CItr6607	spring	PAC	CA	1918	HWS	common	NA	1850-1929	1850-1960
R 36	R36	CItr583674	winter	EAS	IL	1974	HRW	common	NA	1970-79	1961-2015
Racine	Racine	CItr13172	winter	EAS	WI	1956	SRW	common	NA	1950-59	1850-1960
Radco	Rodco	CItr13560	winter	GPL	KS	1957	HRW	common	NA	1950-59	1850-1960
Raeder	Raeder	CItr17418	winter	PNW	WA	1976	SWW	common	NA	1970-79	1961-2015
Ram	Ram	PI477287	winter	GPL	CO	1983	HRW	common	NA	1980-89	1961-2015
Ramona	Ramona	CItr8241	spring	PAC	CA	1935	SWS	common	NA	1930-39	1850-1960
Ramona 50	Ramona 50	CItr12390	spring	PAC	CA	1951	HWS	common	NA	1950-59	1850-1960
Rampart	Rampart	PI593889	winter	NOR	MT	1996	HRW	common	NA	1990-99	1961-2015
Ranger	Ranger	CItr15316	winter	PNW	ID	1972	HRW	common	NA	1970-79	1961-2015
Rawhide	Rawhide	PI543893	winter	GPL	NE	1990	HRW	common	NA	1990-99	1961-2015
Read	Read	CItr6401	winter	EAS	VT	1898	SWW	common	NA	1850-1929	1850-1960
Red Chief	Red Chief	CItr12109	winter	GPL	KS	1940	HRW	common	NA	1940-49	1850-1960
Red Clawson	Red Clawson	CItr565369	winter	EAS	NY	1889	SRW	common	NA	1850-1929	1850-1960
Red Jacket	Red Jacket	CItr12713	winter	GPL	KS	1950	HRW	common	NA	1950-59	1850-1960
Red River 68	Red River 68	CItr14193	spring	PAC	CA	1968	HRS	common	NA	1960-69	1961-2015
Red Rock	Red Rock	CItr5597	winter	EAS	MI	1914	SRW	common	NA	1850-1929	1850-1960
Red Wave	Red Wave	CItr3500	winter	EAS	NY	1905	SRW	common	NA	1850-1929	1850-1960
Redhard	Redhart	CItr8898	winter	EAS	SC	1921	SRW	common	NA	1850-1929	1850-1960
Redhart 4	Redhart 4	CItr12003	winter	EAS	SC	1949	SRW	common	NA	1940-49	1850-1960
Redhart 5	Redhart 5	CItr12004	winter	EAS	SC	1949	SRW	common	NA	1940-49	1850-1960
Redhull	Redhull	CItr11534	winter	GPL	KS	1921	HRW	common	NA	1850-1929	1850-1960
Redland	Redland	PI502907	winter	GPL	NE	1986	HRW	common	NA	1980-89	1961-2015
Redwin	Redwin	CItr17844	winter	NOR	MT	1979	HRW	common	NA	1970-79	1961-2015
Regal	Regal	CItr7364	spring	PNW	OR	1926	HRS	common	NA	1850-1929	1850-1960
Regenerated Defiance	Regenerated Defiance	CItr3703	spring	GPL	CO	1907	HWS	common	NA	1850-1929	1850-1960
Rego	Rego	CItr13181	winter	NOR	MT	1957	HRW	common	NA	1950-59	1850-1960
Reliance	Reliance	CItr7370	spring	PNW	OR	1926	HRS	common	NA	1850-1929	1850-1960
Reliant	Reliant	CItr12144	winter	GPL	OK	1940	HRW	common	NA	1940-49	1850-1960
Rely	Rely	PI542401	winter	PNW	WA	1991	SWW	club	NA	1990-99	1961-2015
Rew	Rew	CItr17294	winter	PNW	OR	1974	SWW	common	NA	1970-79	1961-2015
Rex	Rex	CItr10065	winter	PNW	OR	1933	SWW	common	NA	1930-39	1850-1960
Richland	Richland	PI632399	winter	EAS	NY	2001	SWW	common	NA	2000-15	1961-2015
Rick	Rick	PI614834	spring	PNW	UT	1985	HRS	common	NA	1980-89	1961-2015
Ridit	Ridit	CItr6703	winter	PNW	WA	1923	HRW	common	NA	1850-1929	1850-1960
Riley	Riley	CItr13702	winter	EAS	IN	1965	SRW	common	NA	1960-69	1961-2015
Riley 67	Riley 67	CItr14110	winter	EAS	IN	1967	SRW	common	NA	1960-69	1961-2015
Rio	Rio	CItr10061	winter	PNW	OR	1930	HRW	common	NA	1930-39	1850-1960
Rio Blanco	Rio Blanco	PI531244	winter	GPL	KS	1989	HWW	common	NA	1980-89	1961-2015
Rival	Rival	CItr11708	spring	NOR	ND	1939	HRS	common	NA	1930-39	1850-1960
Rocky	Rocky	CItr17879	winter	GPL	CO	1978	HRW	common	NA	1970-79	1961-2015
Rod	Rod	PI558510	winter	PNW	WA	1992	SWW	common	NA	1990-99	1961-2015
Roedel	Roedel	CItr15175	winter	PNW	OR	1963	SWW	common	NA	1960-69	1961-2015
Rohde	Rohde	PI562529	winter	PNW	OR	1993	SWW	common	NA	1990-99	1961-2015
Roland	Roland	CItr17716	winter	EAS	IL	1977	SRW	common	NA	1970-79	1961-2015
Rose	Rose	PI17795	winter	NOR	SD	1981	HRW	common	NA	1980-89	1961-2015
Rosen	Rosen	PI17607	winter	EAS	AR	1980	SRW	common	NA	1980-89	1961-2015
Rosetta	Rosetta	CItr13363	winter	GPL	OK	1959	HRW	common	NA	1950-59	1850-1960
Roughrider	Roughrider	CItr17439	winter	NOR	ND	1975	HRW	common	NA	1970-79	1961-2015
RSI 220	RSI 220	PI584322	winter	PAC	CA	1994	SRW	common	NA	1990-99	1961-2015
Ruddy	Ruddy	CItr6465	winter	PNW	WA	1919	SRW	common	NA	1850-1929	1850-1960
Rulo	Rulo	PI578137	winter	PNW	WA	1994	SWW	club	NA	1990-99	1961-2015
Rural New Yorker No. 57	Rural New Yorker No. 57	CItr3516	winter	EAS	NY	1894	SRW	common	NA	1850-1929	1850-1960
Rural New Yorker No. 6	Rural New Yorker No. 6	CItr5921	winter	EAS	NY	1894	SRW	common	NA	1850-1929	1850-1960
Rushmore	Rushmore	CItr12273	spring	NOR	SD	1949	HRS	common	NA	1940-49	1850-1960
Russell	Russell	CItr12484	spring	EAS	WI	1956	HRS	common	NA	1950-59	1850-1960
S 76	S 76	CItr17608	winter	GPL	KS	1976	SRW	common	NA	1970-79	1961-2015
S 78	S78	CItr600823	winter	EAS	IN	1978	SRW	common	NA	1970-79	1961-2015
Saline	Saline	CItr12674	winter	EAS	IL	1950	SRW	common	NA	1950-59	1850-1960
Salmon	Salmon	PI542976	winter	PNW	ID	1990	SWW	common	NA	1990-99	1961-2015
Saluda	Saluda	PI480474	winter	EAS	VA	1983	SRW	common	NA	1980-89	1961-2015
Sanford	Sanford	CItr12026	winter	EAS	GA	1940	SRW	common	NA	1940-49	1850-1960
Satanta	Satanta	CItr14582	winter	GPL	KS	1969	HRW	common	NA	1960-69	1961-2015
Sawmont	Sawmont	CItr13544	winter	NOR	MT	1965	HRW	common	NA	1960-69	1961-2015
Sawtana	Sawtana	CItr13304	spring	NOR	MT	1961	HRS	common	NA	1960-69	1961-2015
